dateSeen,brand,name,categories,prices_before,prices_after,prices_disc,availability,views
04/09/19 12:00,Minnetonka,women's minnetonka suede ankle boot,Boots,50.45,49.95,0.99%,TRUE,1
04/09/19 12:00,Minnetonka,women's minnetonka leopard kilty moc,Flats,39.21,32.95,15.97%,TRUE,30
04/09/19 12:00,Minnetonka,Women's Chesney Scuff,Sandals & Slippers,40.35,39.95,0.99%,TRUE,23
04/10/19 12:00,Brinley Co.,Brinley Co. Women's Medium and Wide Width Mary Jane Patent Leather Pumps,Heels,33.8,22.99,31.98%,TRUE,43
04/10/19 12:00,Dyeables,Women's Dyeables Lola,Heels,54.51,46.99,13.8%,TRUE,1
04/10/19 12:00,Franco Sarto,Darlis Leather Point-Toe Pumps,Heels,44.44,44,0.99%,FALSE,1
04/10/19 12:00,Propet,Propet Wash Wear Slip-on - Casual - Women's - Black,NA,80.75,79.95,0.99%,FALSE,73
04/10/19 12:00,New Balance,New Balance Women's Trail Running Blue/Purple Ankle-High Shoe - 8M,Running Shoe,49.76,49.27,0.98%,FALSE,1
04/10/19 12:00,Alfani,Women's Forray Wedge Thong Sandals,Sandals & Slippers,47.08,29.99,36.3%,FALSE,1
04/10/19 12:00,Touch Ups,Women's Touch Ups Fran,Sandals & Slippers,47.63,47.16,0.99%,TRUE,1
04/10/19 12:00,Softwalk,Softwalk Topeka N/S Round Toe Leather Sneakers,Sneakers,88.09,86.36,1.96%,FALSE,1
04/10/19 12:00,Reebok,Reebok Womens PRINCESS WIDE D,Sneakers,66.14,65.49,0.98%,TRUE,3
04/10/19 12:00,Propet,Women's Propet WASHABLE WALKER Sneakers BLUE 10 AA,Sneakers,83.78,82.95,0.99%,FALSE,1
04/10/19 12:00,Propet,Propet Women's Eden Lace Up Sneakers White Leather 6.5 W,Sneakers,46.41,45.95,0.99%,FALSE,1
04/10/19 12:00,Propet,Propet Women's TravelLite Walking Sneakers Black Nylon Bamboo Mesh EVA Rubber 10 AA,Sneakers,46.41,45.95,0.99%,TRUE,1
04/10/19 12:00,Propet,Women's Propet TravelLite,Sneakers,46.41,45.95,0.99%,FALSE,63
04/10/19 01:00,Toms,TOMS Womens Desert Wedges Boot,Boots,89.84,88.95,0.99%,FALSE,2
04/10/19 01:00,Trotters,Women's Trotters Janna,Heels,48.14,47.66,1%,FALSE,1
04/10/19 01:00,Dyeables,Dyeables Tracy - Color - Champagne / Size - 9 W,Heels,112.06,110.95,0.99%,FALSE,1
04/10/19 01:00,Dyeables,Women's Dyeables Lola,Heels,54.51,46.99,13.8%,TRUE,1
04/10/19 01:00,Touch Ups,Women's Touch Ups Poise,Sandals & Slippers,96.89,95.93,0.99%,TRUE,1
